IAUNAME,PID,AID
J094728.34-002912.2,19,0
J094740.15+004141.4,25,0
J095141.92-001420.1,58,0
J095046.37+000749.8,28,0
J095000.51+003229.0,16,1
J095159.43+002715.5,19,0
J095757.29+003318.9,23,0
J100156.58+001116.0,37,0
J101347.67-005824.8,35,0
J100856.63-001522.8,31,0
J101533.81-004450.5,18,0
J101530.73+003452.5,23,0
J101555.30+000122.1,33,0
J101701.54+000613.2,24,0
J101850.39+003331.6,41,0
J102654.47+003755.7,15,0
J103018.79+011449.9,52,0
J103404.32+002618.5,27,0
J103948.03-011237.6,31,0
J104908.56-002918.0,23,0
J104333.59-010526.7,28,2
J105303.04-004106.9,27,0
J105047.52+002856.7,1,2
J110333.45-003652.5,30,0
J110049.00-011044.6,28,0
J111148.27-005218.9,30,0
J110649.28+002932.4,30,0
J110904.49+004945.1,41,0
J111812.73-010851.1,18,0
J111629.06-005617.2,28,0
J111547.34-011112.8,25,0
J111228.94-010632.5,37,0
J111250.91-011507.6,17,2
J112653.08+001623.8,40,0
J112208.56+005644.0,29,0
J112231.82+011226.1,19,0
J113701.67-003043.0,32,0
J113444.06-004331.5,17,0
J113105.93+003329.6,23,0
J114440.89-010914.7,33,0
J115032.74+005850.2,46,0
J115837.13-004716.0,4,3
J120034.35-003152.9,41,0
J120040.64+002353.2,18,0
J120104.87+000447.1,21,0
J120130.40+011249.5,23,0
J120151.75+010948.6,23,0
J120440.22-004449.9,29,0
J120151.90-000539.5,25,0
J120029.38-003308.6,26,0
J120544.82+010212.0,24,0
J121443.45-010232.6,27,0
J121521.07-003117.4,20,0
J121041.46+005314.4,21,0
J121755.74-003240.9,32,0
J121716.97-005219.8,25,0
J122756.01-003135.7,17,0
J123345.29-004146.7,29,0
J123106.81-004223.0,27,0
J123336.04+002053.5,25,0
J124629.58+000430.7,17,0
J124304.98-004638.0,28,0
J124333.01-002855.9,16,0
J124431.62+005121.1,25,0
J124642.57+004038.8,24,0
J124946.31+001051.0,19,0
J125244.45+003300.4,28,0
J125327.99+003204.6,30,0
J130047.43+010105.2,26,0
J130555.23-001224.5,35,0
J130908.23+000103.7,27,0
J131014.92+000014.3,37,0
J130914.41+011153.2,22,0
J131542.92-004414.3,34,0
J131205.13+005759.6,25,0
J131619.43+005015.0,22,0
J132318.33-001508.7,46,0
J132138.40-003048.7,33,0
J132459.54-000440.3,26,0
J132403.93+011343.7,15,0
J132357.89+011333.6,21,0
J132925.93+004402.7,23,0
J133559.88+000226.9,37,0
J133420.65+003719.4,32,0
J134646.30-001736.3,41,0
J134212.97+010609.7,37,0
J135703.80-004852.8,33,0
J140911.46-002444.0,23,0
J140645.31-003547.2,30,0
J140758.12+000649.9,43,0
J142105.38+005154.3,45,0
J143122.76+001743.3,35,0
J143928.90+004122.6,25,0
J145343.12+000221.4,40,0
J145338.03+000115.5,13,4
J151609.10+011454.9,36,0
J151919.14+010934.6,38,0
J152541.92+003441.9,31,0
J153523.47-003016.7,30,0
J113217.98-021911.0,29,0
J112831.55-025655.4,24,0
